ProductID,ProductName,Category,ListPrice
771,"Mountain-100 Silver, 38",Mountain Bikes,3399.99
772,"Mountain-100 Silver, 42",Mountain Bikes,3399.99
773,"Mountain-100 Silver, 44",Mountain Bikes,3399.99
774,"Mountain-100 Silver, 48",Mountain Bikes,3399.99
775,"Mountain-100 Black, 38",Mountain Bikes,3374.99
776,"Mountain-100 Black, 42",Mountain Bikes,3374.99
777,"Mountain-100 Black, 44",Mountain Bikes,3374.99
778,"Mountain-100 Black, 48",Mountain Bikes,3374.99
779,"Mountain-200 Silver, 38",Mountain Bikes,2319.99
780,"Mountain-200 Silver, 42",Mountain Bikes,2319.99
781,"Mountain-200 Silver, 46",Mountain Bikes,2319.99
782,"Mountain-200 Black, 38",Mountain Bikes,2294.99
783,"Mountain-200 Black, 42",Mountain Bikes,2294.99
784,"Mountain-200 Black, 46",Mountain Bikes,2294.99
785,"Mountain-300 Black, 38",Mountain Bikes,1079.99
786,"Mountain-300 Black, 40",Mountain Bikes,1079.99
787,"Mountain-300 Black, 44",Mountain Bikes,1079.99
788,"Mountain-300 Black, 48",Mountain Bikes,1079.99
980,"Mountain-400-W Silver, 38",Mountain Bikes,769.49
981,"Mountain-400-W Silver, 40",Mountain Bikes,769.49
982,"Mountain-400-W Silver, 42",Mountain Bikes,769.49
983,"Mountain-400-W Silver, 46",Mountain Bikes,769.49
984,"Mountain-500 Silver, 40",Mountain Bikes,564.99
985,"Mountain-500 Silver, 42",Mountain Bikes,564.99
986,"Mountain-500 Silver, 44",Mountain Bikes,564.99
987,"Mountain-500 Silver, 48",Mountain Bikes,564.99
988,"Mountain-500 Silver, 52",Mountain Bikes,564.99
989,"Mountain-500 Black, 40",Mountain Bikes,539.99
990,"Mountain-500 Black, 42",Mountain Bikes,539.99
991,"Mountain-500 Black, 44",Mountain Bikes,539.99
992,"Mountain-500 Black, 48",Mountain Bikes,539.99
993,"Mountain-500 Black, 52",Mountain Bikes,539.99
973,"Road-350-W Yellow, 40",Road Bikes,1700.99
974,"Road-350-W Yellow, 42",Road Bikes,1700.99
975,"Road-350-W Yellow, 44",Road Bikes,1700.99
976,"Road-350-W Yellow, 48",Road Bikes,1700.99
977,"Road-750 Black, 58",Road Bikes,539.99
997,"Road-750 Black, 44",Road Bikes,539.99
998,"Road-750 Black, 48",Road Bikes,539.99
999,"Road-750 Black, 52",Road Bikes,539.99
789,"Road-250 Red, 44",Road Bikes,2443.35
790,"Road-250 Red, 48",Road Bikes,2443.35
791,"Road-250 Red, 52",Road Bikes,2443.35
792,"Road-250 Red, 58",Road Bikes,2443.35
793,"Road-250 Black, 44",Road Bikes,2443.35
794,"Road-250 Black, 48",Road Bikes,2443.35
795,"Road-250 Black, 52",Road Bikes,2443.35
796,"Road-250 Black, 58",Road Bikes,2443.35
797,"Road-550-W Yellow, 38",Road Bikes,1120.49
798,"Road-550-W Yellow, 40",Road Bikes,1120.49
799,"Road-550-W Yellow, 42",Road Bikes,1120.49
800,"Road-550-W Yellow, 44",Road Bikes,1120.49
801,"Road-550-W Yellow, 48",Road Bikes,1120.49
749,"Road-150 Red, 62",Road Bikes,3578.27
750,"Road-150 Red, 44",Road Bikes,3578.27
751,"Road-150 Red, 48",Road Bikes,3578.27
752,"Road-150 Red, 52",Road Bikes,3578.27
753,"Road-150 Red, 56",Road Bikes,3578.27
754,"Road-450 Red, 58",Road Bikes,1457.99
755,"Road-450 Red, 60",Road Bikes,1457.99
756,"Road-450 Red, 44",Road Bikes,1457.99
757,"Road-450 Red, 48",Road Bikes,1457.99
758,"Road-450 Red, 52",Road Bikes,1457.99
759,"Road-650 Red, 58",Road Bikes,782.99
760,"Road-650 Red, 60",Road Bikes,782.99
761,"Road-650 Red, 62",Road Bikes,782.99
762,"Road-650 Red, 44",Road Bikes,782.99
763,"Road-650 Red, 48",Road Bikes,782.99
764,"Road-650 Red, 52",Road Bikes,782.99
765,"Road-650 Black, 58",Road Bikes,782.99
766,"Road-650 Black, 60",Road Bikes,782.99
767,"Road-650 Black, 62",Road Bikes,782.99
768,"Road-650 Black, 44",Road Bikes,782.99
769,"Road-650 Black, 48",Road Bikes,782.99
770,"Road-650 Black, 52",Road Bikes,782.99
978,"Touring-3000 Blue, 44",Touring Bikes,742.35
979,"Touring-3000 Blue, 50",Touring Bikes,742.35
953,"Touring-2000 Blue, 60",Touring Bikes,1214.85
954,"Touring-1000 Yellow, 46",Touring Bikes,2384.07
955,"Touring-1000 Yellow, 50",Touring Bikes,2384.07
956,"Touring-1000 Yellow, 54",Touring Bikes,2384.07
957,"Touring-1000 Yellow, 60",Touring Bikes,2384.07
958,"Touring-3000 Blue, 54",Touring Bikes,742.35
959,"Touring-3000 Blue, 58",Touring Bikes,742.35
960,"Touring-3000 Blue, 62",Touring Bikes,742.35
961,"Touring-3000 Yellow, 44",Touring Bikes,742.35
962,"Touring-3000 Yellow, 50",Touring Bikes,742.35
963,"Touring-3000 Yellow, 54",Touring Bikes,742.35
964,"Touring-3000 Yellow, 58",Touring Bikes,742.35
965,"Touring-3000 Yellow, 62",Touring Bikes,742.35
966,"Touring-1000 Blue, 46",Touring Bikes,2384.07
967,"Touring-1000 Blue, 50",Touring Bikes,2384.07
968,"Touring-1000 Blue, 54",Touring Bikes,2384.07
969,"Touring-1000 Blue, 60",Touring Bikes,2384.07
970,"Touring-2000 Blue, 46",Touring Bikes,1214.85
971,"Touring-2000 Blue, 50",Touring Bikes,1214.85
972,"Touring-2000 Blue, 54",Touring Bikes,1214.85
946,LL Touring Handlebars,Handlebars,46.09
947,HL Touring Handlebars,Handlebars,91.57
808,LL Mountain Handlebars,Handlebars,44.54
